,Data_Value,colx,nIndex
379,74.8,Cigarette Use (Adults)Smoking StatusNever,2015UT
380,16.0,Cigarette Use (Adults)Current Smoking,2015VT
381,64.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015VT
382,50.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015VT
383,74.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015VT
384,25.6,Cigarette Use (Adults)Smoking FrequencySome Days,2015VT
385,16.0,Cigarette Use (Adults)Smoking StatusCurrent,2015VT
386,29.0,Cigarette Use (Adults)Smoking StatusFormer,2015VT
387,55.1,Cigarette Use (Adults)Smoking StatusNever,2015VT
388,16.5,Cigarette Use (Adults)Current Smoking,2015VA
389,58.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015VA
390,54.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015VA
391,71.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015VA
392,28.6,Cigarette Use (Adults)Smoking FrequencySome Days,2015VA
393,16.5,Cigarette Use (Adults)Smoking StatusCurrent,2015VA
394,23.6,Cigarette Use (Adults)Smoking StatusFormer,2015VA
395,59.8,Cigarette Use (Adults)Smoking StatusNever,2015VA
396,15.0,Cigarette Use (Adults)Current Smoking,2015WA
397,63.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015WA
398,49.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015WA
399,66.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015WA
400,33.4,Cigarette Use (Adults)Smoking FrequencySome Days,2015WA
401,15.0,Cigarette Use (Adults)Smoking StatusCurrent,2015WA
402,26.3,Cigarette Use (Adults)Smoking StatusFormer,2015WA
403,58.7,Cigarette Use (Adults)Smoking StatusNever,2015WA
404,25.7,Cigarette Use (Adults)Current Smoking,2015WV
405,49.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015WV
406,51.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015WV
407,81.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015WV
408,18.4,Cigarette Use (Adults)Smoking FrequencySome Days,2015WV
409,25.7,Cigarette Use (Adults)Smoking StatusCurrent,2015WV
410,24.9,Cigarette Use (Adults)Smoking StatusFormer,2015WV
411,49.4,Cigarette Use (Adults)Smoking StatusNever,2015WV
412,17.3,Cigarette Use (Adults)Current Smoking,2015WI
413,60.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015WI
414,48.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015WI
415,65.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015WI
416,34.4,Cigarette Use (Adults)Smoking FrequencySome Days,2015WI
417,17.3,Cigarette Use (Adults)Smoking StatusCurrent,2015WI
418,26.2,Cigarette Use (Adults)Smoking StatusFormer,2015WI
419,56.4,Cigarette Use (Adults)Smoking StatusNever,2015WI
420,19.1,Cigarette Use (Adults)Current Smoking,2015WY
421,56.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015WY
422,47.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015WY
423,73.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015WY
424,26.6,Cigarette Use (Adults)Smoking FrequencySome Days,2015WY
425,19.1,Cigarette Use (Adults)Smoking StatusCurrent,2015WY
426,24.4,Cigarette Use (Adults)Smoking StatusFormer,2015WY
427,56.5,Cigarette Use (Adults)Smoking StatusNever,2015WY
428,21.1,Cigarette Use (Adults)Current Smoking,2014AL
429,53.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014AL
430,59.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014AL
431,30.1,Cigarette Use (Adults)Smoking FrequencySome Days,2014AL
432,69.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014AL
433,21.1,Cigarette Use (Adults)Smoking StatusCurrent,2014AL
434,24.6,Cigarette Use (Adults)Smoking StatusFormer,2014AL
435,54.3,Cigarette Use (Adults)Smoking StatusNever,2014AL
436,19.9,Cigarette Use (Adults)Current Smoking,2014AK
437,56.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014AK
438,53.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014AK
439,67.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014AK
440,32.3,Cigarette Use (Adults)Smoking FrequencySome Days,2014AK
441,54.4,Cigarette Use (Adults)Smoking StatusNever,2014AK
442,19.9,Cigarette Use (Adults)Smoking StatusCurrent,2014AK
443,25.7,Cigarette Use (Adults)Smoking StatusFormer,2014AK
444,16.5,Cigarette Use (Adults)Current Smoking,2014AZ
445,61.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014AZ
446,48.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014AZ
447,67.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014AZ
448,32.9,Cigarette Use (Adults)Smoking FrequencySome Days,2014AZ
449,16.5,Cigarette Use (Adults)Smoking StatusCurrent,2014AZ
450,26.5,Cigarette Use (Adults)Smoking StatusFormer,2014AZ
451,57.0,Cigarette Use (Adults)Smoking StatusNever,2014AZ
452,24.7,Cigarette Use (Adults)Current Smoking,2014AR
453,50.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014AR
454,51.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014AR
455,71.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014AR
456,28.5,Cigarette Use (Adults)Smoking FrequencySome Days,2014AR
457,24.7,Cigarette Use (Adults)Smoking StatusCurrent,2014AR
458,25.2,Cigarette Use (Adults)Smoking StatusFormer,2014AR
459,50.0,Cigarette Use (Adults)Smoking StatusNever,2014AR
460,12.8,Cigarette Use (Adults)Current Smoking,2014CA
461,64.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014CA
462,48.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014CA
463,59.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014CA
464,40.2,Cigarette Use (Adults)Smoking FrequencySome Days,2014CA
465,12.8,Cigarette Use (Adults)Smoking StatusCurrent,2014CA
466,22.8,Cigarette Use (Adults)Smoking StatusFormer,2014CA
467,64.3,Cigarette Use (Adults)Smoking StatusNever,2014CA
468,15.7,Cigarette Use (Adults)Current Smoking,2014CO
469,62.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014CO
470,57.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014CO
471,68.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014CO
472,32.0,Cigarette Use (Adults)Smoking FrequencySome Days,2014CO
473,15.7,Cigarette Use (Adults)Smoking StatusCurrent,2014CO
474,26.5,Cigarette Use (Adults)Smoking StatusFormer,2014CO
475,57.8,Cigarette Use (Adults)Smoking StatusNever,2014CO
476,15.4,Cigarette Use (Adults)Current Smoking,2014CT
477,64.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014CT
478,54.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014CT
479,66.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014CT
480,33.8,Cigarette Use (Adults)Smoking FrequencySome Days,2014CT
481,15.4,Cigarette Use (Adults)Smoking StatusCurrent,2014CT
482,27.7,Cigarette Use (Adults)Smoking StatusFormer,2014CT
483,56.9,Cigarette Use (Adults)Smoking StatusNever,2014CT
484,19.9,Cigarette Use (Adults)Current Smoking,2014DE
485,55.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014DE
486,53.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014DE
487,74.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014DE
488,26.0,Cigarette Use (Adults)Smoking FrequencySome Days,2014DE
489,19.9,Cigarette Use (Adults)Smoking StatusCurrent,2014DE
490,24.6,Cigarette Use (Adults)Smoking StatusFormer,2014DE
491,55.5,Cigarette Use (Adults)Smoking StatusNever,2014DE
492,16.4,Cigarette Use (Adults)Current Smoking,2014DC
493,53.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014DC
494,59.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014DC
495,61.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014DC
496,38.7,Cigarette Use (Adults)Smoking FrequencySome Days,2014DC
497,16.4,Cigarette Use (Adults)Smoking StatusCurrent,2014DC
498,19.1,Cigarette Use (Adults)Smoking StatusFormer,2014DC
499,64.5,Cigarette Use (Adults)Smoking StatusNever,2014DC
500,17.6,Cigarette Use (Adults)Current Smoking,2014FL
501,61.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014FL
502,57.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014FL
503,65.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014FL
504,34.4,Cigarette Use (Adults)Smoking FrequencySome Days,2014FL
505,54.6,Cigarette Use (Adults)Smoking StatusNever,2014FL
506,17.6,Cigarette Use (Adults)Smoking StatusCurrent,2014FL
507,27.8,Cigarette Use (Adults)Smoking StatusFormer,2014FL
508,17.4,Cigarette Use (Adults)Current Smoking,2014GA
509,56.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014GA
510,59.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014GA
511,71.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014GA
512,28.9,Cigarette Use (Adults)Smoking FrequencySome Days,2014GA
513,17.4,Cigarette Use (Adults)Smoking StatusCurrent,2014GA
514,22.4,Cigarette Use (Adults)Smoking StatusFormer,2014GA
515,60.2,Cigarette Use (Adults)Smoking StatusNever,2014GA
516,29.2,Cigarette Use (Adults)Current Smoking,2014GU
517,34.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014GU
518,64.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014GU
519,67.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014GU
520,32.1,Cigarette Use (Adults)Smoking FrequencySome Days,2014GU
521,29.2,Cigarette Use (Adults)Smoking StatusCurrent,2014GU
522,15.1,Cigarette Use (Adults)Smoking StatusFormer,2014GU
523,55.7,Cigarette Use (Adults)Smoking StatusNever,2014GU
524,14.1,Cigarette Use (Adults)Current Smoking,2014HI
525,64.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014HI
526,54.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014HI
527,68.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014HI
528,31.8,Cigarette Use (Adults)Smoking FrequencySome Days,2014HI
529,59.9,Cigarette Use (Adults)Smoking StatusNever,2014HI
530,14.1,Cigarette Use (Adults)Smoking StatusCurrent,2014HI
531,25.9,Cigarette Use (Adults)Smoking StatusFormer,2014HI
532,15.9,Cigarette Use (Adults)Current Smoking,2014ID
533,60.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014ID
534,50.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014ID
535,30.3,Cigarette Use (Adults)Smoking FrequencySome Days,2014ID
536,69.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014ID
537,60.2,Cigarette Use (Adults)Smoking StatusNever,2014ID
538,15.9,Cigarette Use (Adults)Smoking StatusCurrent,2014ID
539,23.9,Cigarette Use (Adults)Smoking StatusFormer,2014ID
540,16.5,Cigarette Use (Adults)Current Smoking,2014IL
541,59.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014IL
542,47.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014IL
543,68.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014IL
544,31.7,Cigarette Use (Adults)Smoking FrequencySome Days,2014IL
545,59.5,Cigarette Use (Adults)Smoking StatusNever,2014IL
546,16.5,Cigarette Use (Adults)Smoking StatusCurrent,2014IL
547,24.0,Cigarette Use (Adults)Smoking StatusFormer,2014IL
548,22.9,Cigarette Use (Adults)Current Smoking,2014IN
549,51.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014IN
550,51.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014IN
551,26.3,Cigarette Use (Adults)Smoking FrequencySome Days,2014IN
552,73.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014IN
553,53.0,Cigarette Use (Adults)Smoking StatusNever,2014IN
554,24.1,Cigarette Use (Adults)Smoking StatusFormer,2014IN
555,22.9,Cigarette Use (Adults)Smoking StatusCurrent,2014IN
556,18.5,Cigarette Use (Adults)Current Smoking,2014IA
557,58.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014IA
558,47.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014IA
559,74.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014IA
560,25.7,Cigarette Use (Adults)Smoking FrequencySome Days,2014IA
561,18.5,Cigarette Use (Adults)Smoking StatusCurrent,2014IA
562,25.7,Cigarette Use (Adults)Smoking StatusFormer,2014IA
563,55.9,Cigarette Use (Adults)Smoking StatusNever,2014IA
564,18.1,Cigarette Use (Adults)Current Smoking,2014KS
565,56.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014KS
566,50.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014KS
567,72.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014KS
568,27.5,Cigarette Use (Adults)Smoking FrequencySome Days,2014KS
569,18.1,Cigarette Use (Adults)Smoking StatusCurrent,2014KS
570,23.6,Cigarette Use (Adults)Smoking StatusFormer,2014KS
571,58.3,Cigarette Use (Adults)Smoking StatusNever,2014KS
572,26.2,Cigarette Use (Adults)Current Smoking,2014KY
573,49.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014KY
574,51.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014KY
575,78.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014KY
576,21.9,Cigarette Use (Adults)Smoking FrequencySome Days,2014KY
577,48.4,Cigarette Use (Adults)Smoking StatusNever,2014KY
578,26.2,Cigarette Use (Adults)Smoking StatusCurrent,2014KY
579,25.5,Cigarette Use (Adults)Smoking StatusFormer,2014KY
580,24.0,Cigarette Use (Adults)Current Smoking,2014LA
581,48.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014LA
582,60.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014LA
583,69.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014LA
584,30.1,Cigarette Use (Adults)Smoking FrequencySome Days,2014LA
585,24.0,Cigarette Use (Adults)Smoking StatusCurrent,2014LA
586,22.2,Cigarette Use (Adults)Smoking StatusFormer,2014LA
587,53.8,Cigarette Use (Adults)Smoking StatusNever,2014LA
588,19.3,Cigarette Use (Adults)Current Smoking,2014ME
589,62.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014ME
590,48.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014ME
591,24.0,Cigarette Use (Adults)Smoking FrequencySome Days,2014ME
592,76.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014ME
593,32.0,Cigarette Use (Adults)Smoking StatusFormer,2014ME
594,19.3,Cigarette Use (Adults)Smoking StatusCurrent,2014ME
595,48.7,Cigarette Use (Adults)Smoking StatusNever,2014ME
596,14.6,Cigarette Use (Adults)Current Smoking,2014MD
597,60.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014MD
598,52.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014MD
599,68.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014MD
600,31.7,Cigarette Use (Adults)Smoking FrequencySome Days,2014MD
601,62.8,Cigarette Use (Adults)Smoking StatusNever,2014MD
602,14.6,Cigarette Use (Adults)Smoking StatusCurrent,2014MD
603,22.6,Cigarette Use (Adults)Smoking StatusFormer,2014MD
604,14.7,Cigarette Use (Adults)Current Smoking,2014MA
605,64.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014MA
606,57.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014MA
607,31.9,Cigarette Use (Adults)Smoking FrequencySome Days,2014MA
608,68.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014MA
609,58.5,Cigarette Use (Adults)Smoking StatusNever,2014MA
610,26.8,Cigarette Use (Adults)Smoking StatusFormer,2014MA
611,14.7,Cigarette Use (Adults)Smoking StatusCurrent,2014MA
612,21.2,Cigarette Use (Adults)Current Smoking,2014MI
613,55.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014MI
614,54.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014MI
615,73.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014MI
616,26.4,Cigarette Use (Adults)Smoking FrequencySome Days,2014MI
617,52.1,Cigarette Use (Adults)Smoking StatusNever,2014MI
618,21.2,Cigarette Use (Adults)Smoking StatusCurrent,2014MI
619,26.7,Cigarette Use (Adults)Smoking StatusFormer,2014MI
620,16.3,Cigarette Use (Adults)Current Smoking,2014MN
621,62.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014MN
622,50.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014MN
623,70.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014MN
624,29.9,Cigarette Use (Adults)Smoking FrequencySome Days,2014MN
625,57.1,Cigarette Use (Adults)Smoking StatusNever,2014MN
626,16.3,Cigarette Use (Adults)Smoking StatusCurrent,2014MN
627,26.7,Cigarette Use (Adults)Smoking StatusFormer,2014MN
628,23.0,Cigarette Use (Adults)Current Smoking,2014MS
629,48.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014MS
630,55.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014MS
631,67.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014MS
632,32.7,Cigarette Use (Adults)Smoking FrequencySome Days,2014MS
633,23.0,Cigarette Use (Adults)Smoking StatusCurrent,2014MS
634,21.9,Cigarette Use (Adults)Smoking StatusFormer,2014MS
635,55.1,Cigarette Use (Adults)Smoking StatusNever,2014MS
636,20.6,Cigarette Use (Adults)Current Smoking,2014MO
637,54.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014MO
638,48.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014MO
639,76.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014MO
640,23.3,Cigarette Use (Adults)Smoking FrequencySome Days,2014MO
641,54.9,Cigarette Use (Adults)Smoking StatusNever,2014MO
642,20.6,Cigarette Use (Adults)Smoking StatusCurrent,2014MO
643,24.4,Cigarette Use (Adults)Smoking StatusFormer,2014MO
644,19.9,Cigarette Use (Adults)Current Smoking,2014MT
645,57.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014MT
646,51.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014MT
647,30.0,Cigarette Use (Adults)Smoking FrequencySome Days,2014MT
648,70.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014MT
649,52.9,Cigarette Use (Adults)Smoking StatusNever,2014MT
650,27.2,Cigarette Use (Adults)Smoking StatusFormer,2014MT
651,19.9,Cigarette Use (Adults)Smoking StatusCurrent,2014MT
652,58.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014US
653,53.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014US
654,25.0,Cigarette Use (Adults)Smoking StatusFormer,2014US
655,18.1,Cigarette Use (Adults)Smoking StatusCurrent,2014US
656,17.3,Cigarette Use (Adults)Current Smoking,2014NE
657,58.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014NE
658,49.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014NE
659,70.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014NE
660,29.6,Cigarette Use (Adults)Smoking FrequencySome Days,2014NE
661,58.0,Cigarette Use (Adults)Smoking StatusNever,2014NE
662,17.3,Cigarette Use (Adults)Smoking StatusCurrent,2014NE
663,24.7,Cigarette Use (Adults)Smoking StatusFormer,2014NE
664,17.0,Cigarette Use (Adults)Current Smoking,2014NV
665,58.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014NV
666,54.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014NV
667,36.1,Cigarette Use (Adults)Smoking FrequencySome Days,2014NV
668,63.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014NV
669,59.0,Cigarette Use (Adults)Smoking StatusNever,2014NV
670,24.0,Cigarette Use (Adults)Smoking StatusFormer,2014NV
671,17.0,Cigarette Use (Adults)Smoking StatusCurrent,2014NV
672,17.5,Cigarette Use (Adults)Current Smoking,2014NH
673,63.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014NH
674,52.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014NH
675,73.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014NH
676,26.1,Cigarette Use (Adults)Smoking FrequencySome Days,2014NH
677,30.1,Cigarette Use (Adults)Smoking StatusFormer,2014NH
678,52.4,Cigarette Use (Adults)Smoking StatusNever,2014NH
679,17.5,Cigarette Use (Adults)Smoking StatusCurrent,2014NH
680,15.1,Cigarette Use (Adults)Current Smoking,2014NJ
681,61.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014NJ
682,56.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014NJ
683,62.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014NJ
684,37.4,Cigarette Use (Adults)Smoking FrequencySome Days,2014NJ
685,60.6,Cigarette Use (Adults)Smoking StatusNever,2014NJ
686,15.1,Cigarette Use (Adults)Smoking StatusCurrent,2014NJ
687,24.3,Cigarette Use (Adults)Smoking StatusFormer,2014NJ
688,19.1,Cigarette Use (Adults)Current Smoking,2014NM
689,57.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014NM
690,56.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014NM
691,33.9,Cigarette Use (Adults)Smoking FrequencySome Days,2014NM
692,66.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014NM
693,55.4,Cigarette Use (Adults)Smoking StatusNever,2014NM
694,25.5,Cigarette Use (Adults)Smoking StatusFormer,2014NM
695,19.1,Cigarette Use (Adults)Smoking StatusCurrent,2014NM
696,14.4,Cigarette Use (Adults)Current Smoking,2014NY
697,62.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014NY
698,53.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014NY
699,65.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014NY
700,34.2,Cigarette Use (Adults)Smoking FrequencySome Days,2014NY
701,62.0,Cigarette Use (Adults)Smoking StatusNever,2014NY
702,14.4,Cigarette Use (Adults)Smoking StatusCurrent,2014NY
703,23.6,Cigarette Use (Adults)Smoking StatusFormer,2014NY
704,19.1,Cigarette Use (Adults)Current Smoking,2014NC
705,56.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014NC
706,51.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014NC
707,68.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014NC
708,32.0,Cigarette Use (Adults)Smoking FrequencySome Days,2014NC
709,19.1,Cigarette Use (Adults)Smoking StatusCurrent,2014NC
710,24.4,Cigarette Use (Adults)Smoking StatusFormer,2014NC
711,56.5,Cigarette Use (Adults)Smoking StatusNever,2014NC
712,19.9,Cigarette Use (Adults)Current Smoking,2014ND
713,54.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014ND
714,48.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014ND
715,72.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014ND
716,27.7,Cigarette Use (Adults)Smoking FrequencySome Days,2014ND
717,19.9,Cigarette Use (Adults)Smoking StatusCurrent,2014ND
718,24.1,Cigarette Use (Adults)Smoking StatusFormer,2014ND
719,56.0,Cigarette Use (Adults)Smoking StatusNever,2014ND
720,21.0,Cigarette Use (Adults)Current Smoking,2014OH
721,54.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014OH
722,55.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014OH
723,25.9,Cigarette Use (Adults)Smoking FrequencySome Days,2014OH
724,74.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014OH
725,54.0,Cigarette Use (Adults)Smoking StatusNever,2014OH
726,25.0,Cigarette Use (Adults)Smoking StatusFormer,2014OH
727,21.0,Cigarette Use (Adults)Smoking StatusCurrent,2014OH
728,21.1,Cigarette Use (Adults)Current Smoking,2014OK
729,55.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014OK
730,53.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014OK
731,71.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014OK
732,28.3,Cigarette Use (Adults)Smoking FrequencySome Days,2014OK
733,53.0,Cigarette Use (Adults)Smoking StatusNever,2014OK
734,21.1,Cigarette Use (Adults)Smoking StatusCurrent,2014OK
735,26.0,Cigarette Use (Adults)Smoking StatusFormer,2014OK
736,17.0,Cigarette Use (Adults)Current Smoking,2014OR
737,61.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014OR
738,54.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014OR
739,71.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014OR
740,28.5,Cigarette Use (Adults)Smoking FrequencySome Days,2014OR
741,17.0,Cigarette Use (Adults)Smoking StatusCurrent,2014OR
742,27.1,Cigarette Use (Adults)Smoking StatusFormer,2014OR
743,55.9,Cigarette Use (Adults)Smoking StatusNever,2014OR
744,19.9,Cigarette Use (Adults)Current Smoking,2014PA
745,55.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014PA
746,53.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014PA
747,70.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014PA
748,30.0,Cigarette Use (Adults)Smoking FrequencySome Days,2014PA
749,19.9,Cigarette Use (Adults)Smoking StatusCurrent,2014PA
750,55.3,Cigarette Use (Adults)Smoking StatusNever,2014PA
751,24.8,Cigarette Use (Adults)Smoking StatusFormer,2014PA
752,11.3,Cigarette Use (Adults)Current Smoking,2014PR
753,61.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014PR
754,65.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014PR
755,32.7,Cigarette Use (Adults)Smoking FrequencySome Days,2014PR
756,67.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014PR
757,70.5,Cigarette Use (Adults)Smoking StatusNever,2014PR
758,18.2,Cigarette Use (Adults)Smoking StatusFormer,2014PR
